Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,,Subtract Time Delay/1000,,,,,,Milliseconds
90,0,0,0.864541526,,,0.809541526,,,,,,809.541526
45,0,0,0.745536106,,,0.690536106,,,,,,690.536106
0,2,0,0.68385166,,,0.62885166,,,,,,628.85166
0,2,0,0.532924055,,,0.477924055,,,,,,477.924055
90,0,0,0.406321282,,,0.351321282,,,,,,351.321282
45,2,0,0.417336171,,,0.362336171,,,Average,0.584468797,,362.336171
0,0,0,0.605437028,,,0.550437028,,,,,,550.437028
0,2,0,0.443668722,,,0.388668722,,,Std Dev,0.203911237,,388.668722
45,2,0,0.700456313,,,0.645456313,,,,,,645.456313
0,0,0,1.263420277,,,1.208420277,,,,,,1208.420277
45,0,0,0.791837317,,,0.736837317,,,,,,736.837317
45,2,0,0.637723906,,,0.582723906,,,,,,582.723906
0,0,0,0.592784836,,,0.537784836,,,,,,537.784836
90,0,0,0.432749264,,,0.377749264,,,,,,377.749264
90,0,0,0.407026327,,,0.352026327,,,,,,352.026327
90,2,0,0.621531529,,,0.566531529,,,,,,566.531529
0,0,0,0.601891536,,,0.546891536,,,,,,546.891536
45,2,0,0.708150802,,,0.653150802,,,,,,653.150802
45,2,0,0.510329149,,,0.455329149,,,,,,455.329149
0,2,0,0.821858143,,,0.766858143,,,,,,766.858143
