Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.6838769160000311
90.0,2,0,0.531915094999988
90.0,2,0,0.49312488300000723
90.0,0,0,0.45356853799995633
0.0,2,0,0.45929970700001377
45.0,0,0,0.4347834480000188
0.0,0,0,0.5276114650000068
90.0,2,0,0.4986974729999929
45.0,0,0,0.4410369550000155
0.0,2,0,0.6806013699999767
90.0,0,0,0.44644854599999917
0.0,2,0,0.6522303720000195
90.0,0,0,0.5958776639999996
90.0,0,0,0.9825664180000331
90.0,0,0,0.5068270499999699
90.0,0,0,0.5178928389999555
90.0,0,0,0.4411513389999868
0.0,2,0,0.48294241100001045
0.0,2,0,0.4532844940000018
0.0,2,0,0.4104938540000376
