Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.8683840999874519
90.0,0,0,0.33076130000699777
90.0,0,0,0.37355489999754354
0.0,0,0,0.42884729999059346
90.0,0,0,0.5377141999924788
0.0,0,0,0.3971640999952797
45.0,2,0,0.4863553999894066
45.0,2,0,0.5085521000000881
0.0,2,0,0.5650701999984449
0.0,2,0,0.5205768000014359
90.0,0,0,0.4723441999958595
0.0,2,0,0.40462570000090636
0.0,2,0,0.41396740000345744
45.0,0,0,0.5291047000064282
90.0,0,0,0.6970151999994414
90.0,2,0,0.6052518999931635
45.0,2,0,0.8379580000037095
0.0,2,0,0.5035705999907805
0.0,0,0,0.6289144000038505
45.0,0,0,0.5486470000032568
