Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.6442807730054483
90.0,2,0,0.5281286579847801
45.0,2,0,0.5883295990061015
90.0,2,0,0.5004071689909324
90.0,2,0,0.5404895890096668
90.0,2,0,0.5142934260074981
90.0,2,0,0.4784163210133556
90.0,2,0,0.4704780610045418
90.0,2,0,0.43634464498609304
0.0,2,0,0.6658862410113215
90.0,2,0,0.5419364360000145
90.0,2,0,0.5473726350000163
0.0,2,0,0.7057232239999962
0.0,2,0,0.621365523999998
0.0,2,0,0.7481713020000029
90.0,2,0,0.6981075379999879
0.0,2,0,0.80155846400001
45.0,2,0,0.7406711360000031
90.0,2,0,0.7682832300000086
45.0,2,0,0.6565892369999915
