Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,0,0,0.46680583399984200
45.0,2,0,0.437373290999858
0.0,0,0,0.45077500000002100
0.0,0,0,0.3477982090000750
90.0,2,0,0.35542562499995300
45.0,2,0,0.47912545899998800
0.0,0,0,0.7550506659999880
90.0,0,0,0.4661119580000560
90.0,0,0,0.4892795829998700
0.0,2,0,0.6288859999999660
0.0,2,0,0.783028374999958
0.0,2,0,0.41089929099985100
0.0,2,0,0.4949886659999270
0.0,2,0,0.4405657920001430
90.0,0,0,0.5563879590001760
0.0,2,0,0.6443710409998860
45.0,2,0,0.43643337500020600
0.0,0,0,0.5620898340000620
45.0,0,0,0.527282416999924
45.0,0,0,0.5355684159999330
0.0,0,0,0.4144682079999880
90.0,0,0,0.5252666659999930
90.0,0,0,0.638726666999986
90.0,2,0,0.4210029160000200
45.0,0,0,0.503175041999981
90.0,0,0,0.5284652499999820
45.0,2,0,0.5294647919999990
45.0,2,0,0.5105524580000070
90.0,0,0,0.3909538749999800
45.0,0,0,0.5510900000000160
45.0,2,0,0.6614737919999810
90.0,2,0,0.6184214589999900
45.0,0,0,0.5518493749999890
45.0,2,0,0.4610464590000160
90.0,2,0,0.9204782089999530
45.0,2,0,0.5058034999999560
0.0,0,0,0.7318702499999860
45.0,2,0,0.5971057500000260
45.0,2,0,0.5278422089999710
0.0,0,0,0.7123148750000040
45.0,0,0,0.6723256660000060
0.0,0,0,0.597421249999968
45.0,2,0,0.4676544589999590
0.0,2,0,0.5750848330000050
45.0,2,0,0.40282066699995800
45.0,0,0,0.5172560830000070
45.0,2,0,0.4731686669999820
45.0,2,0,0.41578779200000300
90.0,0,0,0.5206134590000030
45.0,0,0,0.5352618750000030
0.0,0,0,0.40677791699999900
45.0,2,0,0.49599874999995600
45.0,0,0,0.48407687500002800
45.0,2,0,0.4382004589999720
90.0,2,0,0.4749657919999780
90.0,0,0,0.4383117909999900
45.0,0,0,0.4903452080000080
90.0,2,0,0.5220851249999900
45.0,0,0,0.4968380839999900
90.0,2,0,0.4809004580000080
