Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,0,0.797596043
90,2,0,0.524665771
90,0,0,0.978400288
45,0,0,0.885052183
45,2,0,0.735297858
45,2,0,0.461939734
0,0,0,0.634273449
45,0,0,0.719418501
90,2,0,0.865246815
45,0,0,0.74317422
45,2,0,0.807327297
90,2,0,0.659595163
0,2,0,0.557596771
90,2,0,0.701728419
0,0,0,1.083088486
0,0,0,0.584816421
45,0,0,0.577462494
0,2,0,0.521486142
90,0,0,0.485065058
0,0,0,0.676327827
45,2,0,0.755161029
90,2,0,0.672971733
0,2,0,0.551110766
0,0,0,0.589142049
45,0,0,0.699784464
90,2,0,0.705475143
90,2,0,0.706156687
0,0,0,0.495443991
0,0,0,0.407814942
0,0,0,0.395474994
0,2,0,0.373885496
45,2,0,0.511352031
0,0,0,0.5000131
0,0,0,0.36337022
0,2,0,0.428079036
0,0,0,0.357998118
45,2,0,0.589903905
0,0,0,0.617201057
45,0,0,0.585649393
45,2,0,0.484948146
90,0,0,0.77681516
45,2,0,0.58512237
45,0,0,0.72333659
90,2,0,0.56757691
0,2,0,0.65324068
90,0,0,0.56756339
45,2,0,0.39149636
45,0,0,0.54174778
0,2,0,0.59793293
90,2,0,0.52875822
45,2,0,0.44138625
90,2,0,0.78525583
45,0,0,0.62708043
45,0,0,0.60580789
90,0,0,0.57787517
90,0,0,0.47313325
0,2,0,0.64718607
0,0,0,0.62595224
0,2,0,0.41845199
90,0,0,0.5862615
