Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.5575937499999952
90.0,2,0,0.41179345800000533
0.0,0,0,0.3936228329999949
45.0,0,0,0.36405229199999667
45.0,2,0,0.5773285829999963
90.0,2,0,0.46909737500001825
90.0,2,0,0.3987195830000019
0.0,0,0,0.3763472499999807
0.0,2,0,0.3653642080000168
45.0,2,0,0.6541522089999887
90.0,2,0,0.4852200830000015
90.0,0,0,0.5465728750000096
45.0,2,0,0.5161035830000174
90.0,0,0,0.3816634169999986
0.0,0,0,0.3177082500000097
45.0,0,0,0.5102466250000077
90.0,0,0,0.5046651250000025
0.0,2,0,0.5345335839999734
45.0,0,0,0.28777904099996476
0.0,0,0,0.5504474169999867
